,ds,train_size,quantity,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
range_pct,,,,0.25,0.5,0.75,1.0,0.25,0.5,0.75,1.0
1,ds4,1000,var_est_mse,1.3887901458116414,1.8379300058721988,1.3927342262747373,2.777189776160642,0.48673091326531154,0.3774587009037862,0.37301723682139853,0.48419398200785696
2,ds4,1000,var_est_nll,1.1124800473333905,1.8511969550282852,2.185473736242496,3.1235902615828968,0.34276791423348224,0.6034192801482542,0.6635377198985493,0.43320458569092196
4,ds4,3000,var_est_mse,1.3982308435390494,1.7148423579843186,1.026854873714085,2.369575223764767,0.24804112961547625,0.29395917188083304,0.2734831888797782,0.3139424017764257
5,ds4,3000,var_est_nll,0.9941543245075752,1.67448487776395,1.5915171001196238,2.6931294802758123,0.1346115463794097,0.32487805768302486,0.3209231372775631,0.1880861552641308
7,ds4,5000,var_est_mse,1.3039266444802586,1.669104105138836,0.9436967948082804,2.402220852743313,0.2772624517937441,0.20008446612338393,0.18856648638786042,0.24976930330906824
8,ds4,5000,var_est_nll,0.9911954658119825,1.6767045790706614,1.497920576397824,2.722263725781233,0.20790561457640935,0.2902252799989207,0.2798112571203301,0.22194055342603752
10,ds4,10000,var_est_mse,1.291302522922325,1.6575997442697978,0.8787715281366077,2.398946967201862,0.23635350397248714,0.16845711056668528,0.23896447638778254,0.28921795342860035
11,ds4,10000,var_est_nll,1.0391205200232407,1.7056839824490595,1.5006869650911983,2.665876797518913,0.17481561639261062,0.25900442456273814,0.37978049542791414,0.24758121045673398
13,ds5,1000,var_est_mse,2.2380576457531967,2.8736058789540833,2.604445130554989,3.636995188766476,0.5816988303790971,1.203740618356254,0.4158670366870057,1.0165982084243868
14,ds5,1000,var_est_nll,1.871941761829681,3.3060147621881186,3.183154090924738,3.932611866003689,0.42612547065498835,1.3802297215596444,0.6712497071006653,1.0532230057074772
16,ds5,3000,var_est_mse,1.9669467608398825,2.033953057448252,1.812727737675153,2.488687737147647,0.3345941254185367,0.4336511684536125,0.29018498253741914,0.31146636346623613
17,ds5,3000,var_est_nll,1.6974473267040526,2.0180462361818354,1.9909264368550286,2.7356589338331805,0.2524164725954982,0.4526694770342148,0.27224000168973134,0.29478833505087737
19,ds5,5000,var_est_mse,1.916413797721614,1.8031192042746018,1.5743367432723665,2.204505294077192,0.24616126584279782,0.2768468845918857,0.16170015472286736,0.14993545633874916
20,ds5,5000,var_est_nll,1.621368317719898,1.764061271641447,1.8203158109971151,2.61087782588406,0.17328684759934562,0.3395395729749554,0.17909878922594583,0.28347523349801507
22,ds5,10000,var_est_mse,1.9430982053994015,1.8160940314253633,1.3363415982793092,1.8206869921941,0.12562556856005355,0.19360800219683091,0.10236431837868572,0.1932005879485068
23,ds5,10000,var_est_nll,1.6111881612779755,1.7631994414024124,1.5820909722513856,2.2288370331468874,0.1421465318690518,0.22850399401079516,0.09293715644233487,0.31335978854626917
