UTC,Open,High,Low,Close,Volume
01.10.2025 13:00:00.000 UTC,254.946,258.756,254.946,256.436,88.536
01.10.2025 14:00:00.000 UTC,256.467,257.316,255.357,255.546,95.004
01.10.2025 15:00:00.000 UTC,255.527,256.097,255.087,256.097,55.656
01.10.2025 16:00:00.000 UTC,256.107,256.907,255.917,256.447,51.252
01.10.2025 17:00:00.000 UTC,256.457,256.807,255.826,256.446,40.968
01.10.2025 18:00:00.000 UTC,256.447,256.736,256.216,256.726,39.048
01.10.2025 19:00:00.000 UTC,256.717,256.927,255.266,255.406,65.088
02.10.2025 13:00:00.000 UTC,256.546,257.236,254.107,255.966,60.696
02.10.2025 14:00:00.000 UTC,255.966,256.777,255.626,256.257,75.768
02.10.2025 15:00:00.000 UTC,256.246,257.967,255.967,257.736,68.88
02.10.2025 16:00:00.000 UTC,257.746,258.147,257.087,257.486,48.624
02.10.2025 17:00:00.000 UTC,257.476,257.807,257.046,257.087,32.988
02.10.2025 18:00:00.000 UTC,257.097,258.137,257.007,257.916,39.528
02.10.2025 19:00:00.000 UTC,257.927,257.947,256.876,257.137,56.568
03.10.2025 13:00:00.000 UTC,254.526,259.017,253.947,257.997,71.88
03.10.2025 14:00:00.000 UTC,257.997,258.777,257.327,258.156,75.036
03.10.2025 15:00:00.000 UTC,258.156,259.217,257.886,258.397,56.652
03.10.2025 16:00:00.000 UTC,258.386,258.926,258.186,258.776,39.048
03.10.2025 17:00:00.000 UTC,258.777,258.777,257.106,257.426,85.38
03.10.2025 18:00:00.000 UTC,257.416,258.557,256.957,258.297,65.448
03.10.2025 19:00:00.000 UTC,258.306,258.397,257.386,257.907,86.004
06.10.2025 13:00:00.000 UTC,258.017,258.996,255.046,256.226,71.376
06.10.2025 14:00:00.000 UTC,256.256,258.727,256.166,257.817,75.996
06.10.2025 15:00:00.000 UTC,257.817,257.946,256.827,257.137,42.948
06.10.2025 16:00:00.000 UTC,257.147,257.537,256.746,257.316,31.632
06.10.2025 17:00:00.000 UTC,257.316,257.377,255.497,255.577,47.7
06.10.2025 18:00:00.000 UTC,255.597,256.566,255.596,256.196,36.492
06.10.2025 19:00:00.000 UTC,256.197,257.227,256.126,256.586,74.784
07.10.2025 13:00:00.000 UTC,256.907,257.366,256.256,257.137,53.232
07.10.2025 14:00:00.000 UTC,257.147,257.217,255.596,255.906,65.208
07.10.2025 15:00:00.000 UTC,255.897,257.087,255.876,256.286,102.6
07.10.2025 16:00:00.000 UTC,256.286,256.637,255.876,256.077,64.056
07.10.2025 17:00:00.000 UTC,256.066,256.206,255.416,255.827,43.764
07.10.2025 18:00:00.000 UTC,255.827,256.187,255.546,256.147,40.788
07.10.2025 19:00:00.000 UTC,256.157,256.597,255.896,256.476,84.684
08.10.2025 13:00:00.000 UTC,256.517,257.867,256.096,257.197,45.432
08.10.2025 14:00:00.000 UTC,257.206,258.157,257.097,257.587,62.628
08.10.2025 15:00:00.000 UTC,257.577,258.436,257.536,257.936,46.56
08.10.2025 16:00:00.000 UTC,257.897,258.486,257.596,257.776,34.02
08.10.2025 17:00:00.000 UTC,257.807,258.167,257.646,257.796,28.212
08.10.2025 18:00:00.000 UTC,257.806,258.177,257.636,257.787,30.732
08.10.2025 19:00:00.000 UTC,257.797,258.477,257.716,258.016,58.188
