UTC,Open,High,Low,Close,Volume
01.10.2025 13:30:00.000 UTC,255.154,255.774,255.063,255.294,3.276
01.10.2025 13:31:00.000 UTC,255.284,256.323,255.104,256.083,2.424
01.10.2025 13:32:00.000 UTC,256.193,256.594,255.923,255.963,2.58
01.10.2025 13:33:00.000 UTC,255.963,256.504,255.943,256.324,2.124
01.10.2025 13:34:00.000 UTC,256.354,256.824,256.353,256.544,2.364
01.10.2025 13:35:00.000 UTC,256.543,257.444,256.453,257.444,4.68
01.10.2025 13:36:00.000 UTC,257.474,258.574,257.433,258.453,4.86
01.10.2025 13:37:00.000 UTC,258.484,258.803,258.254,258.554,5.304
01.10.2025 13:38:00.000 UTC,258.544,258.784,258.423,258.483,4.248
01.10.2025 13:39:00.000 UTC,258.484,258.654,257.953,258.063,3.78
01.10.2025 13:40:00.000 UTC,258.074,258.454,258.043,258.143,3.3
01.10.2025 13:41:00.000 UTC,258.093,258.093,257.703,257.844,2.316
01.10.2025 13:42:00.000 UTC,257.834,258.184,257.643,258.154,2.064
01.10.2025 13:43:00.000 UTC,258.144,258.234,257.533,257.613,2.304
01.10.2025 13:44:00.000 UTC,257.603,257.694,257.393,257.684,1.524
01.10.2025 13:45:00.000 UTC,257.674,257.684,256.983,257.073,2.1
01.10.2025 13:46:00.000 UTC,257.084,257.084,256.673,256.693,2.352
01.10.2025 13:47:00.000 UTC,256.693,256.734,256.303,256.363,2.88
01.10.2025 13:48:00.000 UTC,256.334,256.584,255.884,255.884,3.132
01.10.2025 13:49:00.000 UTC,255.873,255.994,255.453,255.514,3.912
01.10.2025 13:50:00.000 UTC,255.513,255.804,255.294,255.694,4.2
01.10.2025 13:51:00.000 UTC,255.723,255.904,255.593,255.874,2.94
01.10.2025 13:52:00.000 UTC,255.843,255.974,255.763,255.843,3.084
01.10.2025 13:53:00.000 UTC,255.854,256.194,255.814,256.174,2.988
01.10.2025 13:54:00.000 UTC,256.174,256.314,256.063,256.263,2.832
01.10.2025 13:55:00.000 UTC,256.244,256.244,255.973,255.973,2.748
01.10.2025 13:56:00.000 UTC,255.963,256.453,255.884,256.433,2.304
01.10.2025 13:57:00.000 UTC,256.444,256.484,256.333,256.354,2.04
01.10.2025 13:58:00.000 UTC,256.324,256.434,256.274,256.364,1.788
01.10.2025 13:59:00.000 UTC,256.364,256.574,256.334,256.534,2.088
01.10.2025 14:00:00.000 UTC,256.563,256.654,256.333,256.653,2.532
01.10.2025 14:01:00.000 UTC,256.654,256.784,256.523,256.644,1.692
01.10.2025 14:02:00.000 UTC,256.644,256.644,256.353,256.353,2.172
01.10.2025 14:03:00.000 UTC,256.374,256.473,256.073,256.273,2.58
01.10.2025 14:04:00.000 UTC,256.274,256.573,256.223,256.463,1.8
01.10.2025 14:05:00.000 UTC,256.463,256.463,256.304,256.333,2.124
01.10.2025 14:06:00.000 UTC,256.304,256.354,256.103,256.133,2.052
01.10.2025 14:07:00.000 UTC,256.133,256.234,256.004,256.074,1.788
01.10.2025 14:08:00.000 UTC,256.073,256.094,255.784,255.873,2.22
01.10.2025 14:09:00.000 UTC,255.844,255.934,255.754,255.873,1.764
01.10.2025 14:10:00.000 UTC,255.924,256.084,255.894,256.003,1.716
01.10.2025 14:11:00.000 UTC,256.004,256.053,255.803,255.813,1.584
01.10.2025 14:12:00.000 UTC,255.803,255.823,255.553,255.553,1.752
01.10.2025 14:13:00.000 UTC,255.534,255.784,255.443,255.684,1.908
01.10.2025 14:14:00.000 UTC,255.674,256.004,255.674,256.004,1.692
01.10.2025 14:15:00.000 UTC,255.994,256.113,255.954,256.073,1.764
01.10.2025 14:16:00.000 UTC,256.083,256.404,256.054,256.373,2.352
01.10.2025 14:17:00.000 UTC,256.383,256.464,256.313,256.354,1.956
01.10.2025 14:18:00.000 UTC,256.383,256.734,256.383,256.724,1.788
01.10.2025 14:19:00.000 UTC,256.734,257.034,256.733,256.984,1.836
01.10.2025 14:20:00.000 UTC,256.993,257.024,256.904,256.953,1.548
01.10.2025 14:21:00.000 UTC,256.934,257.344,256.933,257.183,2.22
01.10.2025 14:22:00.000 UTC,257.194,257.224,256.763,256.764,2.484
01.10.2025 14:23:00.000 UTC,256.803,256.814,256.634,256.733,2.196
01.10.2025 14:24:00.000 UTC,256.754,256.784,256.663,256.733,1.656
01.10.2025 14:25:00.000 UTC,256.723,256.814,256.613,256.683,1.476
01.10.2025 14:26:00.000 UTC,256.663,256.663,256.184,256.294,2.148
01.10.2025 14:27:00.000 UTC,256.354,256.494,256.253,256.464,1.56
01.10.2025 14:28:00.000 UTC,256.444,256.673,256.394,256.654,1.368
01.10.2025 14:29:00.000 UTC,256.663,256.663,256.194,256.194,1.872
01.10.2025 14:30:00.000 UTC,256.204,256.264,256.123,256.183,1.716
01.10.2025 14:31:00.000 UTC,256.164,256.264,255.963,256.024,1.512
01.10.2025 14:32:00.000 UTC,256.014,256.054,255.854,255.904,1.512
01.10.2025 14:33:00.000 UTC,255.924,255.924,255.423,255.473,2.172
01.10.2025 14:34:00.000 UTC,255.494,255.884,255.494,255.883,1.632
01.10.2025 14:35:00.000 UTC,255.894,255.994,255.844,255.993,1.38
01.10.2025 14:36:00.000 UTC,255.984,255.994,255.873,255.903,1.368
01.10.2025 14:37:00.000 UTC,255.903,255.944,255.774,255.824,1.2
01.10.2025 14:38:00.000 UTC,255.853,255.853,255.643,255.803,1.296
01.10.2025 14:39:00.000 UTC,255.804,255.954,255.783,255.844,1.32
01.10.2025 14:40:00.000 UTC,255.833,255.843,255.683,255.754,1.524
01.10.2025 14:41:00.000 UTC,255.753,255.764,255.594,255.724,1.536
01.10.2025 14:42:00.000 UTC,255.694,255.724,255.573,255.723,1.488
01.10.2025 14:43:00.000 UTC,255.744,255.744,255.583,255.633,1.104
01.10.2025 14:44:00.000 UTC,255.623,255.654,255.534,255.564,0.876
01.10.2025 14:45:00.000 UTC,255.584,255.673,255.543,255.603,1.344
01.10.2025 14:46:00.000 UTC,255.624,255.964,255.573,255.963,1.56
01.10.2025 14:47:00.000 UTC,255.914,255.934,255.714,255.854,1.152
01.10.2025 14:48:00.000 UTC,255.853,255.894,255.684,255.694,1.188
01.10.2025 14:49:00.000 UTC,255.704,255.833,255.614,255.833,1.176
01.10.2025 14:50:00.000 UTC,255.823,255.824,255.633,255.653,1.104
01.10.2025 14:51:00.000 UTC,255.653,255.794,255.553,255.783,0.84
01.10.2025 14:52:00.000 UTC,255.784,255.823,255.694,255.743,0.708
01.10.2025 14:53:00.000 UTC,255.733,255.784,255.674,255.714,0.876
01.10.2025 14:54:00.000 UTC,255.753,255.934,255.723,255.844,0.972
01.10.2025 14:55:00.000 UTC,255.824,255.954,255.824,255.884,0.924
01.10.2025 14:56:00.000 UTC,255.884,255.884,255.694,255.733,0.888
01.10.2025 14:57:00.000 UTC,255.733,255.864,255.714,255.744,0.852
01.10.2025 14:58:00.000 UTC,255.753,255.774,255.614,255.704,1.104
01.10.2025 14:59:00.000 UTC,255.704,255.704,255.543,255.584,1.08
01.10.2025 15:00:00.000 UTC,255.553,255.633,255.503,255.563,0.936
01.10.2025 15:01:00.000 UTC,255.563,255.644,255.543,255.604,1.056
01.10.2025 15:02:00.000 UTC,255.594,255.633,255.544,255.603,0.756
01.10.2025 15:03:00.000 UTC,255.593,255.624,255.423,255.444,1.308
01.10.2025 15:04:00.000 UTC,255.444,255.584,255.403,255.473,0.984
01.10.2025 15:05:00.000 UTC,255.483,255.484,255.324,255.343,1.116
01.10.2025 15:06:00.000 UTC,255.343,255.464,255.334,255.444,1.368
01.10.2025 15:07:00.000 UTC,255.443,255.584,255.383,255.543,1.152
01.10.2025 15:08:00.000 UTC,255.513,255.603,255.324,255.454,1.356
01.10.2025 15:09:00.000 UTC,255.454,255.504,255.383,255.403,1.092
01.10.2025 15:10:00.000 UTC,255.393,255.443,255.313,255.344,1.02
01.10.2025 15:11:00.000 UTC,255.354,255.504,255.324,255.363,0.756
01.10.2025 15:12:00.000 UTC,255.354,255.434,255.213,255.353,1.188
01.10.2025 15:13:00.000 UTC,255.363,255.643,255.344,255.603,1.344
01.10.2025 15:14:00.000 UTC,255.594,255.634,255.504,255.584,1.116
01.10.2025 15:15:00.000 UTC,255.564,255.584,255.324,255.364,1.332
01.10.2025 15:16:00.000 UTC,255.354,255.414,255.263,255.274,0.744
01.10.2025 15:17:00.000 UTC,255.293,255.414,255.284,255.403,0.912
01.10.2025 15:18:00.000 UTC,255.394,255.494,255.383,255.383,1.128
01.10.2025 15:19:00.000 UTC,255.374,255.513,255.374,255.434,0.936
01.10.2025 15:20:00.000 UTC,255.403,255.454,255.363,255.423,0.672
01.10.2025 15:21:00.000 UTC,255.414,255.503,255.393,255.503,0.816
01.10.2025 15:22:00.000 UTC,255.503,255.524,255.233,255.254,0.996
01.10.2025 15:23:00.000 UTC,255.273,255.454,255.243,255.443,1.116
01.10.2025 15:24:00.000 UTC,255.424,255.424,255.243,255.243,0.96
01.10.2025 15:25:00.000 UTC,255.283,255.333,255.203,255.243,0.696
01.10.2025 15:26:00.000 UTC,255.243,255.243,255.103,255.234,1.068
01.10.2025 15:27:00.000 UTC,255.234,255.243,255.123,255.194,0.564
01.10.2025 15:28:00.000 UTC,255.213,255.494,255.213,255.484,0.792
01.10.2025 15:29:00.000 UTC,255.493,255.564,255.424,255.554,0.612
01.10.2025 15:30:00.000 UTC,255.553,255.804,255.543,255.764,0.888
01.10.2025 15:31:00.000 UTC,255.753,255.844,255.693,255.704,0.924
01.10.2025 15:32:00.000 UTC,255.714,255.744,255.634,255.734,0.792
01.10.2025 15:33:00.000 UTC,255.723,255.723,255.573,255.623,0.984
01.10.2025 15:34:00.000 UTC,255.613,255.653,255.533,255.564,1.164
01.10.2025 15:35:00.000 UTC,255.573,255.754,255.523,255.703,1.068
01.10.2025 15:36:00.000 UTC,255.703,255.804,255.694,255.774,0.84
01.10.2025 15:37:00.000 UTC,255.773,255.874,255.773,255.813,0.84
01.10.2025 15:38:00.000 UTC,255.823,255.874,255.783,255.844,0.888
01.10.2025 15:39:00.000 UTC,255.844,255.873,255.793,255.853,0.876
01.10.2025 15:40:00.000 UTC,255.864,255.904,255.783,255.783,0.972
01.10.2025 15:41:00.000 UTC,255.793,255.884,255.733,255.733,0.78
01.10.2025 15:42:00.000 UTC,255.734,255.824,255.694,255.764,0.648
01.10.2025 15:43:00.000 UTC,255.754,255.784,255.703,255.753,0.6
01.10.2025 15:44:00.000 UTC,255.754,255.824,255.733,255.814,0.516
01.10.2025 15:45:00.000 UTC,255.814,256.044,255.813,256.033,0.816
01.10.2025 15:46:00.000 UTC,256.033,256.054,255.953,255.954,0.636
01.10.2025 15:47:00.000 UTC,255.953,255.993,255.853,255.913,0.756
01.10.2025 15:48:00.000 UTC,255.913,255.934,255.763,255.813,0.756
01.10.2025 15:49:00.000 UTC,255.804,255.804,255.643,255.704,0.984
01.10.2025 15:50:00.000 UTC,255.693,255.744,255.634,255.684,1.116
01.10.2025 15:51:00.000 UTC,255.684,255.804,255.563,255.574,1.02
01.10.2025 15:52:00.000 UTC,255.573,255.674,255.563,255.643,0.9
01.10.2025 15:53:00.000 UTC,255.633,255.753,255.574,255.713,0.996
01.10.2025 15:54:00.000 UTC,255.704,255.804,255.674,255.804,0.648
01.10.2025 15:55:00.000 UTC,255.803,255.944,255.733,255.933,0.876
01.10.2025 15:56:00.000 UTC,255.943,256.034,255.933,256.033,0.912
01.10.2025 15:57:00.000 UTC,256.033,256.084,256.004,256.013,0.684
01.10.2025 15:58:00.000 UTC,256.003,256.064,255.953,256.023,0.96
01.10.2025 15:59:00.000 UTC,256.023,256.124,256.023,256.123,0.924
01.10.2025 16:00:00.000 UTC,256.133,256.294,256.123,256.254,1.212
01.10.2025 16:01:00.000 UTC,256.243,256.464,256.243,256.434,1.296
01.10.2025 16:02:00.000 UTC,256.444,256.483,256.394,256.423,0.948
01.10.2025 16:03:00.000 UTC,256.413,256.414,256.333,256.353,1.02
01.10.2025 16:04:00.000 UTC,256.343,256.414,256.283,256.374,1.008
01.10.2025 16:05:00.000 UTC,256.373,256.394,256.323,256.354,0.948
01.10.2025 16:06:00.000 UTC,256.343,256.394,256.333,256.383,0.948
01.10.2025 16:07:00.000 UTC,256.374,256.534,256.364,256.533,1.188
01.10.2025 16:08:00.000 UTC,256.534,256.574,256.513,256.533,1.056
01.10.2025 16:09:00.000 UTC,256.553,256.563,256.444,256.493,0.588
01.10.2025 16:10:00.000 UTC,256.494,256.623,256.473,256.554,0.912
01.10.2025 16:11:00.000 UTC,256.564,256.704,256.544,256.653,0.96
01.10.2025 16:12:00.000 UTC,256.634,256.724,256.544,256.724,1.08
01.10.2025 16:13:00.000 UTC,256.713,256.924,256.713,256.884,0.888
01.10.2025 16:14:00.000 UTC,256.873,256.873,256.643,256.654,1.008
01.10.2025 16:15:00.000 UTC,256.644,256.644,256.463,256.464,0.828
01.10.2025 16:16:00.000 UTC,256.443,256.534,256.443,256.524,0.852
01.10.2025 16:17:00.000 UTC,256.534,256.564,256.453,256.453,1.008
