UTC,Open,High,Low,Close,Volume
01.10.2025 13:30:00.000 UTC,254.946,255.687,254.946,255.106,3.276
01.10.2025 13:31:00.000 UTC,255.106,256.267,255.006,255.957,2.424
01.10.2025 13:32:00.000 UTC,256.087,256.486,255.796,255.887,2.58
01.10.2025 13:33:00.000 UTC,255.847,256.427,255.816,256.216,2.124
01.10.2025 13:34:00.000 UTC,256.216,256.746,256.216,256.446,2.364
01.10.2025 13:35:00.000 UTC,256.457,257.387,256.397,257.386,4.68
01.10.2025 13:36:00.000 UTC,257.426,258.467,257.387,258.407,4.86
01.10.2025 13:37:00.000 UTC,258.426,258.747,258.226,258.506,5.304
01.10.2025 13:38:00.000 UTC,258.506,258.756,258.376,258.387,4.248
01.10.2025 13:39:00.000 UTC,258.416,258.617,257.896,257.987,3.78
01.10.2025 13:40:00.000 UTC,257.986,258.417,257.986,258.077,3.3
01.10.2025 13:41:00.000 UTC,258.007,258.037,257.636,257.756,2.316
01.10.2025 13:42:00.000 UTC,257.756,258.106,257.597,258.086,2.064
01.10.2025 13:43:00.000 UTC,258.086,258.176,257.486,257.567,2.304
01.10.2025 13:44:00.000 UTC,257.567,257.646,257.327,257.596,1.524
01.10.2025 13:45:00.000 UTC,257.596,257.656,256.927,257.017,2.1
01.10.2025 13:46:00.000 UTC,257.016,257.016,256.637,256.647,2.352
01.10.2025 13:47:00.000 UTC,256.637,256.676,256.277,256.317,2.88
01.10.2025 13:48:00.000 UTC,256.296,256.536,255.816,255.816,3.132
01.10.2025 13:49:00.000 UTC,255.837,255.926,255.416,255.446,3.912
01.10.2025 13:50:00.000 UTC,255.437,255.776,255.217,255.666,4.2
01.10.2025 13:51:00.000 UTC,255.677,255.867,255.526,255.826,2.94
01.10.2025 13:52:00.000 UTC,255.807,255.926,255.706,255.807,3.084
01.10.2025 13:53:00.000 UTC,255.816,256.146,255.776,256.126,2.988
01.10.2025 13:54:00.000 UTC,256.136,256.276,256.016,256.207,2.832
01.10.2025 13:55:00.000 UTC,256.196,256.197,255.937,255.937,2.748
01.10.2025 13:56:00.000 UTC,255.937,256.427,255.856,256.397,2.304
