UTC,Open,High,Low,Close,Volume
01.10.2025 13:30:00.000 UTC,285.783,285.783,285.223,285.223,0.6009
01.10.2025 13:31:00.000 UTC,285.014,286.303,285.014,286.004,0.9018
01.10.2025 13:32:00.000 UTC,286.304,286.304,286.304,286.304,0.12
01.10.2025 13:33:00.000 UTC,286.463,286.463,285.983,285.983,0.33
01.10.2025 13:34:00.000 UTC,286.823,287.484,286.823,287.484,1.08
01.10.2025 13:35:00.000 UTC,287.484,288.004,287.163,287.163,2.4018
01.10.2025 13:36:00.000 UTC,288.263,288.264,287.484,287.494,1.0818
01.10.2025 13:37:00.000 UTC,287.494,287.754,287.204,287.754,1.5309
01.10.2025 13:38:00.000 UTC,287.384,288.773,287.384,288.773,0.7227
01.10.2025 13:39:00.000 UTC,288.824,289.973,288.823,289.973,1.6527
01.10.2025 13:40:00.000 UTC,289.974,290.873,289.974,290.873,2.9727
01.10.2025 13:41:00.000 UTC,291.113,291.264,289.954,290.554,1.4109
01.10.2025 13:42:00.000 UTC,290.553,290.554,289.634,289.704,2.13
01.10.2025 13:43:00.000 UTC,289.534,289.534,289.003,289.003,0.7209
01.10.2025 13:44:00.000 UTC,289.673,289.834,289.243,289.834,1.0509
01.10.2025 13:46:00.000 UTC,288.814,288.934,288.734,288.924,0.6627
01.10.2025 13:47:00.000 UTC,289.744,289.744,289.383,289.384,0.1227
01.10.2025 13:48:00.000 UTC,289.284,290.624,289.283,289.984,3.5754
01.10.2025 13:49:00.000 UTC,289.984,290.454,289.853,289.923,1.8927
01.10.2025 13:50:00.000 UTC,289.924,291.044,289.923,291.044,2.19
01.10.2025 13:51:00.000 UTC,290.404,290.664,290.403,290.664,1.32
01.10.2025 13:52:00.000 UTC,290.664,290.664,290.113,290.113,1.2045
01.10.2025 13:53:00.000 UTC,289.994,290.654,289.803,290.443,1.4427
01.10.2025 13:54:00.000 UTC,290.434,290.793,290.423,290.793,1.8936
01.10.2025 13:55:00.000 UTC,290.793,292.034,290.774,291.943,2.4627
01.10.2025 13:56:00.000 UTC,291.614,292.444,291.583,292.393,2.9745
01.10.2025 13:57:00.000 UTC,292.144,292.294,292.003,292.193,1.08
01.10.2025 13:58:00.000 UTC,292.183,292.184,291.634,291.774,0.9018
01.10.2025 13:59:00.000 UTC,291.764,292.164,291.763,292.003,1.2609
01.10.2025 14:00:00.000 UTC,292.003,292.084,292.003,292.083,0.78
01.10.2025 14:01:00.000 UTC,292.023,292.184,291.923,291.924,1.05
01.10.2025 14:02:00.000 UTC,291.813,291.813,291.373,291.423,1.2963
01.10.2025 14:03:00.000 UTC,291.653,292.733,291.603,292.023,2.0427
01.10.2025 14:04:00.000 UTC,292.053,292.253,291.833,292.253,1.4409
01.10.2025 14:05:00.000 UTC,292.253,292.743,292.193,292.604,1.0218
01.10.2025 14:06:00.000 UTC,292.734,293.283,292.734,293.283,2.2218
01.10.2025 14:07:00.000 UTC,293.263,293.784,293.003,293.624,1.7427
01.10.2025 14:08:00.000 UTC,293.794,293.874,293.204,293.214,1.2009
01.10.2025 14:09:00.000 UTC,293.614,293.614,293.153,293.153,2.0418
01.10.2025 14:10:00.000 UTC,292.913,292.913,292.783,292.783,0.7209
01.10.2025 14:11:00.000 UTC,292.604,292.604,292.463,292.464,0.96
01.10.2025 14:12:00.000 UTC,292.433,293.254,292.344,293.254,3.1836
01.10.2025 14:13:00.000 UTC,293.433,294.704,293.433,294.034,2.8827
01.10.2025 14:14:00.000 UTC,293.943,294.134,293.713,293.753,1.9218
01.10.2025 14:15:00.000 UTC,293.923,294.614,293.753,294.203,2.8527
01.10.2025 14:16:00.000 UTC,294.613,294.613,293.903,293.903,0.9618
01.10.2025 14:17:00.000 UTC,293.793,293.793,293.303,293.424,1.1718
01.10.2025 14:18:00.000 UTC,293.424,295.364,293.424,295.364,3.42
01.10.2025 14:19:00.000 UTC,295.044,295.464,294.963,295.323,2.43
01.10.2025 14:20:00.000 UTC,295.313,295.504,294.923,295.503,1.6218
01.10.2025 14:21:00.000 UTC,295.194,295.504,295.004,295.333,1.7709
01.10.2025 14:22:00.000 UTC,295.294,295.394,295.054,295.394,1.6536
01.10.2025 14:23:00.000 UTC,295.393,295.963,295.254,295.464,2.0436
01.10.2025 14:24:00.000 UTC,295.464,295.964,295.294,295.434,2.2818
01.10.2025 14:25:00.000 UTC,295.138,295.144,294.894,295.043,2.1609
01.10.2025 14:26:00.000 UTC,295.034,295.504,294.953,295.124,2.1627
01.10.2025 14:27:00.000 UTC,295.123,295.124,294.674,294.923,2.3427
01.10.2025 14:28:00.000 UTC,294.813,295.504,294.813,295.284,1.9227
01.10.2025 14:29:00.000 UTC,295.124,295.143,295.003,295.093,1.4418
01.10.2025 14:30:00.000 UTC,295.093,295.504,294.763,294.913,1.6818
01.10.2025 14:31:00.000 UTC,295.224,296.004,295.073,295.624,1.8009
01.10.2025 14:32:00.000 UTC,295.614,295.614,295.304,295.393,1.6809
01.10.2025 14:33:00.000 UTC,295.384,295.863,295.143,295.244,1.5663
01.10.2025 14:34:00.000 UTC,295.073,295.434,294.764,295.133,4.7754
01.10.2025 14:35:00.000 UTC,295.264,295.534,295.264,295.483,1.4409
01.10.2025 14:36:00.000 UTC,295.544,296.754,295.523,296.503,3.9681
01.10.2025 14:37:00.000 UTC,296.494,296.643,295.974,295.983,2.1336
01.10.2025 14:38:00.000 UTC,296.073,296.754,296.014,296.263,2.1636
01.10.2025 14:39:00.000 UTC,296.224,296.294,295.824,296.294,1.3218
01.10.2025 14:40:00.000 UTC,296.294,296.484,296.214,296.444,0.9609
01.10.2025 14:41:00.000 UTC,296.444,296.444,296.193,296.393,2.5854
01.10.2025 14:42:00.000 UTC,296.394,296.943,296.394,296.863,1.0809
01.10.2025 14:43:00.000 UTC,296.853,296.914,296.444,296.853,3.1272
01.10.2025 14:44:00.000 UTC,296.623,296.903,296.434,296.604,2.5218
01.10.2025 14:45:00.000 UTC,296.494,296.904,296.174,296.493,1.8945
01.10.2025 14:46:00.000 UTC,296.494,296.564,295.984,296.563,2.2836
01.10.2025 14:47:00.000 UTC,296.384,296.564,295.873,295.873,3.3027
01.10.2025 14:48:00.000 UTC,295.743,296.033,295.743,295.784,1.5345
01.10.2025 14:49:00.000 UTC,296.324,296.564,295.333,295.333,3.2436
01.10.2025 14:50:00.000 UTC,295.494,295.833,295.244,295.424,2.8836
01.10.2025 14:51:00.000 UTC,295.464,295.834,295.403,295.823,2.5218
01.10.2025 14:52:00.000 UTC,295.813,295.983,295.093,295.743,2.7945
01.10.2025 14:53:00.000 UTC,295.744,295.984,295.723,295.984,1.44
01.10.2025 14:54:00.000 UTC,295.983,295.984,295.624,295.634,1.3209
01.10.2025 14:55:00.000 UTC,295.563,295.583,295.003,295.104,1.9227
01.10.2025 14:56:00.000 UTC,295.103,295.833,295.103,295.833,1.74
01.10.2025 14:57:00.000 UTC,295.833,295.834,295.723,295.834,1.44
01.10.2025 14:58:00.000 UTC,295.874,296.073,295.873,296.073,1.68
01.10.2025 14:59:00.000 UTC,296.074,296.564,296.073,296.564,1.9809
01.10.2025 15:00:00.000 UTC,296.563,296.803,296.503,296.753,1.98
01.10.2025 15:01:00.000 UTC,296.624,296.804,296.613,296.703,1.9209
01.10.2025 15:02:00.000 UTC,296.704,296.704,296.603,296.603,1.8018
01.10.2025 15:03:00.000 UTC,296.603,297.004,296.583,297.004,1.6518
01.10.2025 15:04:00.000 UTC,297.004,297.194,297.004,297.103,1.1718
01.10.2025 15:05:00.000 UTC,297.093,297.584,297.093,297.583,1.4118
01.10.2025 15:06:00.000 UTC,297.584,297.753,297.414,297.634,1.5327
01.10.2025 15:07:00.000 UTC,297.484,297.624,297.484,297.524,0.8436
01.10.2025 15:08:00.000 UTC,297.573,297.834,297.524,297.824,2.2518
01.10.2025 15:09:00.000 UTC,297.824,297.944,297.824,297.943,0.96
01.10.2025 15:10:00.000 UTC,297.834,297.913,297.583,297.624,4.1718
01.10.2025 15:11:00.000 UTC,297.703,297.804,297.644,297.803,1.7718
01.10.2025 15:12:00.000 UTC,297.924,298.734,297.924,298.544,4.7709
01.10.2025 15:13:00.000 UTC,298.504,298.644,298.433,298.433,1.3209
