UTC,Open,High,Low,Close,Volume
07.10.2025 08:00:00.000 UTC,1.39545,1.39554,1.3954,1.39551,0.10395
07.10.2025 08:01:00.000 UTC,1.39549,1.39553,1.39549,1.39551,0.207
07.10.2025 08:02:00.000 UTC,1.39551,1.39553,1.39545,1.39546,0.12105
07.10.2025 08:03:00.000 UTC,1.39546,1.39552,1.39543,1.39543,0.11673
07.10.2025 08:04:00.000 UTC,1.39544,1.39547,1.39537,1.39546,0.05691
07.10.2025 08:05:00.000 UTC,1.39544,1.39544,1.39534,1.39534,0.10107
07.10.2025 08:06:00.000 UTC,1.39535,1.39543,1.39535,1.39535,0.14247
07.10.2025 08:07:00.000 UTC,1.39535,1.39535,1.39523,1.39524,0.05199
07.10.2025 08:08:00.000 UTC,1.39522,1.39523,1.39515,1.39515,0.0282
07.10.2025 08:09:00.000 UTC,1.39515,1.39517,1.39513,1.39514,0.0468
07.10.2025 08:10:00.000 UTC,1.39516,1.3953,1.39516,1.39526,0.07176
07.10.2025 08:11:00.000 UTC,1.39521,1.39526,1.39521,1.39524,0.06762
07.10.2025 08:12:00.000 UTC,1.39523,1.39525,1.39522,1.39522,0.05616
07.10.2025 08:13:00.000 UTC,1.39523,1.39523,1.39505,1.39515,0.07347
07.10.2025 08:14:00.000 UTC,1.39515,1.39524,1.39508,1.39509,0.11322
07.10.2025 08:15:00.000 UTC,1.39514,1.39514,1.39503,1.39503,0.05616
07.10.2025 08:16:00.000 UTC,1.39504,1.39513,1.39504,1.39507,0.10284
07.10.2025 08:17:00.000 UTC,1.39508,1.39515,1.39508,1.3951,0.10449
07.10.2025 08:18:00.000 UTC,1.39514,1.39519,1.3951,1.39515,0.07533
07.10.2025 08:19:00.000 UTC,1.39516,1.39517,1.39507,1.39507,0.08406
07.10.2025 08:20:00.000 UTC,1.39507,1.39522,1.39507,1.39522,0.05832
07.10.2025 08:21:00.000 UTC,1.39522,1.39526,1.3952,1.39526,0.05766
07.10.2025 08:22:00.000 UTC,1.39525,1.39525,1.39519,1.39522,0.07128
07.10.2025 08:23:00.000 UTC,1.39522,1.39525,1.39517,1.3952,0.04464
07.10.2025 08:24:00.000 UTC,1.3952,1.39522,1.39519,1.3952,0.0759
07.10.2025 08:25:00.000 UTC,1.39521,1.39526,1.3952,1.39522,0.08814
07.10.2025 08:26:00.000 UTC,1.39521,1.39537,1.39518,1.3952,0.08442
07.10.2025 08:27:00.000 UTC,1.39524,1.39525,1.39523,1.39524,0.03165
07.10.2025 08:28:00.000 UTC,1.39524,1.3953,1.39516,1.39518,0.03648
07.10.2025 08:29:00.000 UTC,1.39517,1.39522,1.39515,1.39519,0.0534
07.10.2025 08:30:00.000 UTC,1.39519,1.39519,1.39505,1.39508,0.0339
07.10.2025 08:31:00.000 UTC,1.39508,1.39523,1.39508,1.39523,0.03345
07.10.2025 08:32:00.000 UTC,1.39522,1.39538,1.39522,1.39537,0.04482
07.10.2025 08:33:00.000 UTC,1.39538,1.39539,1.39537,1.39538,0.01812
07.10.2025 08:34:00.000 UTC,1.39539,1.39539,1.39534,1.39536,0.042
07.10.2025 08:35:00.000 UTC,1.39537,1.39541,1.39537,1.39538,0.01272
07.10.2025 08:36:00.000 UTC,1.39541,1.39542,1.39536,1.39538,0.05187
07.10.2025 08:37:00.000 UTC,1.39538,1.39545,1.39538,1.39545,0.03753
07.10.2025 08:38:00.000 UTC,1.39546,1.39549,1.39546,1.39547,0.042
07.10.2025 08:39:00.000 UTC,1.39547,1.39548,1.39537,1.39545,0.05355
07.10.2025 08:40:00.000 UTC,1.39547,1.39548,1.39538,1.39542,0.08205
07.10.2025 08:41:00.000 UTC,1.39542,1.39548,1.3954,1.3954,0.04185
07.10.2025 08:42:00.000 UTC,1.3954,1.39543,1.39534,1.39542,0.07305
07.10.2025 08:43:00.000 UTC,1.39542,1.39563,1.39542,1.39561,0.05865
07.10.2025 08:44:00.000 UTC,1.39561,1.39566,1.39558,1.39565,0.04152
07.10.2025 08:45:00.000 UTC,1.39566,1.39573,1.39566,1.3957,0.07194
07.10.2025 08:46:00.000 UTC,1.39571,1.39571,1.39568,1.39569,0.0198
07.10.2025 08:47:00.000 UTC,1.39568,1.39579,1.39568,1.39578,0.04836
07.10.2025 08:48:00.000 UTC,1.39578,1.39579,1.39567,1.39568,0.06124
07.10.2025 08:49:00.000 UTC,1.39568,1.39576,1.39568,1.39572,0.11265
07.10.2025 08:50:00.000 UTC,1.39573,1.39576,1.39565,1.39569,0.09195
07.10.2025 08:51:00.000 UTC,1.39569,1.39569,1.39559,1.39562,0.05199
07.10.2025 08:52:00.000 UTC,1.39563,1.39563,1.39556,1.39556,0.10929
07.10.2025 08:53:00.000 UTC,1.39557,1.39557,1.39547,1.39549,0.05034
07.10.2025 08:54:00.000 UTC,1.39549,1.39556,1.39545,1.39556,0.05823
07.10.2025 08:55:00.000 UTC,1.39555,1.39557,1.39551,1.39555,0.06111
07.10.2025 08:56:00.000 UTC,1.39555,1.39559,1.39555,1.39557,0.0876
07.10.2025 08:57:00.000 UTC,1.39557,1.39562,1.39557,1.39561,0.1209
07.10.2025 08:58:00.000 UTC,1.39561,1.39561,1.3955,1.39558,0.1665
07.10.2025 08:59:00.000 UTC,1.3956,1.39562,1.39557,1.3956,0.18096
07.10.2025 09:00:00.000 UTC,1.39559,1.39563,1.39545,1.39557,0.08715
07.10.2025 09:01:00.000 UTC,1.39557,1.39558,1.39551,1.39552,0.03351
07.10.2025 09:02:00.000 UTC,1.39552,1.39554,1.39547,1.39553,0.07923
07.10.2025 09:03:00.000 UTC,1.39553,1.39562,1.39553,1.39561,0.0705
07.10.2025 09:04:00.000 UTC,1.39562,1.39562,1.39558,1.39558,0.01875
07.10.2025 09:05:00.000 UTC,1.39559,1.3956,1.39556,1.39559,0.03945
07.10.2025 09:06:00.000 UTC,1.39559,1.39562,1.39557,1.39559,0.05319
07.10.2025 09:07:00.000 UTC,1.39558,1.39566,1.39557,1.39562,0.04827
07.10.2025 09:08:00.000 UTC,1.39561,1.39568,1.39559,1.39559,0.0468
07.10.2025 09:09:00.000 UTC,1.39557,1.39558,1.39548,1.39551,0.04687
07.10.2025 09:10:00.000 UTC,1.39551,1.39552,1.39541,1.39542,0.03465
07.10.2025 09:11:00.000 UTC,1.39542,1.39551,1.39541,1.3955,0.0771
07.10.2025 09:12:00.000 UTC,1.3955,1.39559,1.39548,1.39559,0.04227
07.10.2025 09:13:00.000 UTC,1.39558,1.39558,1.39555,1.39557,0.07743
07.10.2025 09:14:00.000 UTC,1.39556,1.39556,1.39549,1.3955,0.07332
07.10.2025 09:15:00.000 UTC,1.39552,1.39557,1.3955,1.39553,0.04506
07.10.2025 09:16:00.000 UTC,1.39554,1.39558,1.39552,1.39558,0.06762
07.10.2025 09:17:00.000 UTC,1.39557,1.3956,1.39554,1.39555,0.05295
07.10.2025 09:18:00.000 UTC,1.39555,1.39557,1.39553,1.39556,0.02925
07.10.2025 09:19:00.000 UTC,1.39557,1.39571,1.39557,1.3957,0.02967
07.10.2025 09:20:00.000 UTC,1.39568,1.39572,1.39565,1.39572,0.03
07.10.2025 09:21:00.000 UTC,1.39573,1.39578,1.39573,1.39577,0.03687
07.10.2025 09:22:00.000 UTC,1.39578,1.39579,1.39577,1.39578,0.024
07.10.2025 09:23:00.000 UTC,1.39578,1.3958,1.39577,1.3958,0.01029
07.10.2025 09:24:00.000 UTC,1.3958,1.39581,1.39577,1.3958,0.05025
07.10.2025 09:25:00.000 UTC,1.39582,1.39582,1.3957,1.3957,0.02892
07.10.2025 09:26:00.000 UTC,1.39572,1.39575,1.39572,1.39575,0.0141
07.10.2025 09:27:00.000 UTC,1.39576,1.39576,1.39573,1.39575,0.04125
07.10.2025 09:28:00.000 UTC,1.39576,1.39577,1.3957,1.3957,0.05139
07.10.2025 09:29:00.000 UTC,1.39572,1.39572,1.39569,1.39569,0.0939
07.10.2025 09:30:00.000 UTC,1.39571,1.39571,1.39559,1.39561,0.06915
07.10.2025 09:31:00.000 UTC,1.39561,1.39562,1.39557,1.3956,0.04605
07.10.2025 09:32:00.000 UTC,1.3956,1.3956,1.39546,1.39555,0.0699
07.10.2025 09:33:00.000 UTC,1.39554,1.39559,1.39553,1.39556,0.0588
07.10.2025 09:34:00.000 UTC,1.39556,1.39567,1.39556,1.39567,0.07302
07.10.2025 09:35:00.000 UTC,1.39566,1.39572,1.39566,1.39571,0.04392
07.10.2025 09:36:00.000 UTC,1.39572,1.39578,1.39567,1.39577,0.06015
07.10.2025 09:37:00.000 UTC,1.39578,1.39578,1.39571,1.39571,0.03345
07.10.2025 09:38:00.000 UTC,1.39572,1.39578,1.39572,1.39577,0.0483
07.10.2025 09:39:00.000 UTC,1.39577,1.39578,1.39571,1.39576,0.03855
07.10.2025 09:40:00.000 UTC,1.39577,1.39577,1.39571,1.39577,0.0534
07.10.2025 09:41:00.000 UTC,1.39576,1.39577,1.39572,1.39576,0.05745
07.10.2025 09:42:00.000 UTC,1.39577,1.39577,1.39571,1.39574,0.07419
07.10.2025 09:43:00.000 UTC,1.39572,1.39572,1.39559,1.3956,0.07995
07.10.2025 09:44:00.000 UTC,1.3956,1.39561,1.39557,1.39557,0.0735
07.10.2025 09:45:00.000 UTC,1.39557,1.3956,1.39556,1.3956,0.04335
07.10.2025 09:46:00.000 UTC,1.3956,1.39562,1.39559,1.3956,0.12354
07.10.2025 09:47:00.000 UTC,1.3956,1.39561,1.39559,1.3956,0.07584
07.10.2025 09:48:00.000 UTC,1.39559,1.3956,1.3955,1.3955,0.08322
07.10.2025 09:49:00.000 UTC,1.39551,1.39552,1.3955,1.3955,0.08904
07.10.2025 09:50:00.000 UTC,1.39551,1.39551,1.39545,1.39547,0.05625
07.10.2025 09:51:00.000 UTC,1.39549,1.3955,1.39543,1.39547,0.0288
07.10.2025 09:52:00.000 UTC,1.39549,1.39551,1.39545,1.39546,0.0267
07.10.2025 09:53:00.000 UTC,1.39546,1.39546,1.39537,1.39539,0.03997
07.10.2025 09:54:00.000 UTC,1.39538,1.39548,1.39538,1.39547,0.033
07.10.2025 09:55:00.000 UTC,1.39548,1.39558,1.39548,1.39552,0.02604
07.10.2025 09:56:00.000 UTC,1.3955,1.39552,1.39545,1.39548,0.03213
07.10.2025 09:57:00.000 UTC,1.39549,1.39549,1.39546,1.39548,0.01575
07.10.2025 09:58:00.000 UTC,1.39549,1.39552,1.39546,1.3955,0.03789
07.10.2025 09:59:00.000 UTC,1.39551,1.39551,1.3954,1.39541,0.13611
07.10.2025 10:00:00.000 UTC,1.3954,1.3954,1.39537,1.39538,0.1038
07.10.2025 10:01:00.000 UTC,1.39538,1.39546,1.39538,1.39542,0.09894
07.10.2025 10:02:00.000 UTC,1.39543,1.39552,1.39543,1.39548,0.0627
07.10.2025 10:03:00.000 UTC,1.39547,1.39548,1.39541,1.39541,0.0667
07.10.2025 10:04:00.000 UTC,1.39541,1.39546,1.39541,1.39543,0.09138
07.10.2025 10:05:00.000 UTC,1.39541,1.39541,1.39539,1.39541,0.04167
07.10.2025 10:06:00.000 UTC,1.3954,1.39548,1.3954,1.39548,0.03885
07.10.2025 10:07:00.000 UTC,1.39548,1.39548,1.39538,1.39538,0.04626
07.10.2025 10:08:00.000 UTC,1.39538,1.39541,1.39537,1.39538,0.0336
07.10.2025 10:09:00.000 UTC,1.39539,1.39539,1.39518,1.3952,0.1878
07.10.2025 10:10:00.000 UTC,1.39519,1.3952,1.39515,1.39517,0.0696
07.10.2025 10:11:00.000 UTC,1.39517,1.39528,1.39516,1.39528,0.04818
07.10.2025 10:12:00.000 UTC,1.39528,1.39531,1.39526,1.3953,0.02535
07.10.2025 10:13:00.000 UTC,1.39531,1.39531,1.39523,1.39523,0.02448
07.10.2025 10:14:00.000 UTC,1.39523,1.39523,1.39521,1.39522,0.01359
07.10.2025 10:15:00.000 UTC,1.3952,1.39523,1.39516,1.39519,0.0228
07.10.2025 10:16:00.000 UTC,1.39517,1.39517,1.39512,1.39513,0.03105
07.10.2025 10:17:00.000 UTC,1.39513,1.39513,1.3951,1.39511,0.0288
07.10.2025 10:18:00.000 UTC,1.39509,1.39511,1.39509,1.3951,0.03465
07.10.2025 10:19:00.000 UTC,1.3951,1.39512,1.39509,1.39512,0.0243
07.10.2025 10:20:00.000 UTC,1.39511,1.39513,1.39509,1.39509,0.0132
07.10.2025 10:21:00.000 UTC,1.3951,1.39511,1.3951,1.39511,0.00975
07.10.2025 10:22:00.000 UTC,1.39513,1.39518,1.39512,1.39514,0.03585
07.10.2025 10:23:00.000 UTC,1.39513,1.39518,1.39511,1.39518,0.018
07.10.2025 10:24:00.000 UTC,1.39518,1.3953,1.39518,1.39524,0.04431
07.10.2025 10:25:00.000 UTC,1.39526,1.39531,1.39526,1.3953,0.0348
07.10.2025 10:26:00.000 UTC,1.39529,1.3953,1.39526,1.39526,0.0186
07.10.2025 10:27:00.000 UTC,1.39523,1.39523,1.39522,1.39523,0.04665
07.10.2025 10:28:00.000 UTC,1.39524,1.39528,1.39523,1.39523,0.0312
07.10.2025 10:29:00.000 UTC,1.39523,1.39523,1.39518,1.39521,0.04275
07.10.2025 10:30:00.000 UTC,1.39519,1.39519,1.39503,1.39504,0.02805
07.10.2025 10:31:00.000 UTC,1.39504,1.39508,1.39496,1.39496,0.0741
07.10.2025 10:32:00.000 UTC,1.39498,1.39502,1.39498,1.39502,0.0162
07.10.2025 10:33:00.000 UTC,1.39503,1.39505,1.39501,1.39501,0.02535
07.10.2025 10:34:00.000 UTC,1.395,1.39501,1.39497,1.39499,0.0357
07.10.2025 10:35:00.000 UTC,1.395,1.395,1.39491,1.39491,0.04683
07.10.2025 10:36:00.000 UTC,1.39491,1.39496,1.39486,1.39486,0.06369
07.10.2025 10:37:00.000 UTC,1.39486,1.39486,1.39475,1.39476,0.08334
07.10.2025 10:38:00.000 UTC,1.39476,1.3948,1.39472,1.39475,0.0681
07.10.2025 10:39:00.000 UTC,1.39476,1.39477,1.39476,1.39476,0.0132
07.10.2025 10:40:00.000 UTC,1.39476,1.39481,1.39475,1.39481,0.02265
07.10.2025 10:41:00.000 UTC,1.39483,1.39492,1.39483,1.39491,0.0216
07.10.2025 10:42:00.000 UTC,1.39489,1.39492,1.39486,1.39491,0.045
07.10.2025 10:43:00.000 UTC,1.3949,1.39492,1.39481,1.39486,0.0651
07.10.2025 10:44:00.000 UTC,1.39486,1.39491,1.39486,1.39491,0.06495
07.10.2025 10:45:00.000 UTC,1.39496,1.39503,1.39496,1.39501,0.10395
07.10.2025 10:46:00.000 UTC,1.39502,1.3951,1.39499,1.39506,0.0513
07.10.2025 10:47:00.000 UTC,1.39505,1.39505,1.39493,1.39495,0.05085
07.10.2025 10:48:00.000 UTC,1.39496,1.39501,1.39496,1.39499,0.0405
