UTC,Open,High,Low,Close,Volume
10.10.2025 08:00:00.000 UTC,1.40257,1.40261,1.40242,1.40248,0.21816
10.10.2025 08:01:00.000 UTC,1.40248,1.40252,1.40238,1.40244,0.1419
10.10.2025 08:02:00.000 UTC,1.40244,1.40245,1.40233,1.40234,0.12942
10.10.2025 08:03:00.000 UTC,1.40233,1.40239,1.40223,1.40227,0.11109
10.10.2025 08:04:00.000 UTC,1.40227,1.40234,1.40226,1.40233,0.04542
10.10.2025 08:05:00.000 UTC,1.40233,1.40242,1.40226,1.40227,0.09675
10.10.2025 08:06:00.000 UTC,1.40224,1.40224,1.40206,1.40215,0.1143
10.10.2025 08:07:00.000 UTC,1.40214,1.40218,1.40212,1.40217,0.08436
10.10.2025 08:08:00.000 UTC,1.40217,1.40218,1.40213,1.40215,0.0723
10.10.2025 08:09:00.000 UTC,1.40216,1.40229,1.40214,1.40223,0.11136
10.10.2025 08:10:00.000 UTC,1.40224,1.40233,1.40224,1.40224,0.08898
10.10.2025 08:11:00.000 UTC,1.40226,1.40226,1.40209,1.40209,0.09789
10.10.2025 08:12:00.000 UTC,1.40208,1.40208,1.40201,1.40205,0.04989
10.10.2025 08:13:00.000 UTC,1.40204,1.40204,1.40186,1.40188,0.10308
10.10.2025 08:14:00.000 UTC,1.40189,1.40196,1.40185,1.40186,0.07119
10.10.2025 08:15:00.000 UTC,1.40186,1.40188,1.40182,1.40187,0.08679
10.10.2025 08:16:00.000 UTC,1.40187,1.40194,1.40182,1.40183,0.07998
10.10.2025 08:17:00.000 UTC,1.40186,1.40186,1.40176,1.40176,0.08046
10.10.2025 08:18:00.000 UTC,1.40177,1.4019,1.40177,1.4019,0.07563
10.10.2025 08:19:00.000 UTC,1.40189,1.40195,1.40187,1.40193,0.12084
10.10.2025 08:20:00.000 UTC,1.40194,1.40206,1.40193,1.40205,0.1164
10.10.2025 08:21:00.000 UTC,1.40207,1.40211,1.40204,1.40208,0.06606
10.10.2025 08:22:00.000 UTC,1.40207,1.40216,1.40206,1.40208,0.05073
10.10.2025 08:23:00.000 UTC,1.40208,1.40208,1.40184,1.40184,0.08394
10.10.2025 08:24:00.000 UTC,1.40186,1.40186,1.40175,1.40185,0.11853
10.10.2025 08:25:00.000 UTC,1.40185,1.40189,1.40177,1.4018,0.12006
10.10.2025 08:26:00.000 UTC,1.40181,1.40186,1.40175,1.40186,0.05796
10.10.2025 08:27:00.000 UTC,1.40187,1.40205,1.40187,1.40205,0.14553
10.10.2025 08:28:00.000 UTC,1.40205,1.40209,1.40202,1.40206,0.1212
10.10.2025 08:29:00.000 UTC,1.40206,1.40207,1.402,1.40204,0.06819
10.10.2025 08:30:00.000 UTC,1.40204,1.40214,1.40202,1.40208,0.13944
10.10.2025 08:31:00.000 UTC,1.40207,1.40207,1.40197,1.40201,0.08652
10.10.2025 08:32:00.000 UTC,1.402,1.402,1.40192,1.40195,0.0708
10.10.2025 08:33:00.000 UTC,1.40194,1.40197,1.40187,1.40188,0.06834
10.10.2025 08:34:00.000 UTC,1.40188,1.40199,1.40187,1.40188,0.10173
10.10.2025 08:35:00.000 UTC,1.40187,1.40187,1.40175,1.40177,0.04413
10.10.2025 08:36:00.000 UTC,1.40177,1.40177,1.40168,1.40176,0.11382
10.10.2025 08:37:00.000 UTC,1.40174,1.40176,1.40172,1.40174,0.04596
10.10.2025 08:38:00.000 UTC,1.40173,1.40173,1.40165,1.40165,0.0552
10.10.2025 08:39:00.000 UTC,1.40165,1.40165,1.40152,1.40155,0.06945
10.10.2025 08:40:00.000 UTC,1.40156,1.4016,1.40153,1.40157,0.04995
10.10.2025 08:41:00.000 UTC,1.4016,1.40168,1.4016,1.40163,0.11163
10.10.2025 08:42:00.000 UTC,1.40157,1.40165,1.40156,1.40164,0.06084
10.10.2025 08:43:00.000 UTC,1.40164,1.40166,1.40159,1.40165,0.05559
10.10.2025 08:44:00.000 UTC,1.40164,1.40168,1.40156,1.40157,0.09681
10.10.2025 08:45:00.000 UTC,1.40156,1.40169,1.40155,1.40167,0.05595
10.10.2025 08:46:00.000 UTC,1.40166,1.40168,1.40156,1.40157,0.05904
10.10.2025 08:47:00.000 UTC,1.40158,1.40179,1.40154,1.40179,0.06675
10.10.2025 08:48:00.000 UTC,1.40179,1.40179,1.40164,1.40165,0.07479
10.10.2025 08:49:00.000 UTC,1.40166,1.40168,1.40163,1.40166,0.05421
10.10.2025 08:50:00.000 UTC,1.40167,1.40178,1.40167,1.40178,0.08784
10.10.2025 08:51:00.000 UTC,1.40178,1.40189,1.40176,1.40189,0.06021
10.10.2025 08:52:00.000 UTC,1.40187,1.40188,1.40185,1.40186,0.03189
10.10.2025 08:53:00.000 UTC,1.40185,1.40191,1.40185,1.40186,0.03738
