UTC,Open,High,Low,Close,Volume
07.10.2025 12:00:00.000 UTC,1.16626,1.16626,1.16624,1.16624,0.0036
07.10.2025 12:00:01.000 UTC,1.16617,1.16617,1.16617,1.16617,0.0009
07.10.2025 12:00:02.000 UTC,1.16618,1.1662,1.16618,1.16618,0.0027
07.10.2025 12:00:04.000 UTC,1.16617,1.16617,1.16617,1.16617,0.00225
07.10.2025 12:00:05.000 UTC,1.16619,1.16619,1.16616,1.16616,0.0036
07.10.2025 12:00:06.000 UTC,1.16615,1.1662,1.16615,1.1662,0.009
07.10.2025 12:00:07.000 UTC,1.16618,1.16618,1.16618,1.16618,0.0009
07.10.2025 12:00:08.000 UTC,1.16618,1.16618,1.16614,1.16614,0.0054
07.10.2025 12:00:11.000 UTC,1.16616,1.16616,1.16616,1.16616,0.00135
07.10.2025 12:00:13.000 UTC,1.16619,1.16619,1.16619,1.16619,0.0009
07.10.2025 12:00:14.000 UTC,1.16624,1.16624,1.16621,1.16621,0.00405
07.10.2025 12:00:15.000 UTC,1.16621,1.16627,1.16621,1.16627,0.00312
07.10.2025 12:00:16.000 UTC,1.16626,1.16626,1.16626,1.16626,0.0009
07.10.2025 12:00:17.000 UTC,1.16627,1.1663,1.16627,1.1663,0.00402
07.10.2025 12:00:23.000 UTC,1.16631,1.16631,1.16631,1.16631,0.00402
07.10.2025 12:00:24.000 UTC,1.16631,1.16631,1.16629,1.16629,0.0038
07.10.2025 12:00:26.000 UTC,1.16633,1.16635,1.16633,1.16635,0.00537
07.10.2025 12:00:30.000 UTC,1.16634,1.16634,1.16628,1.16628,0.0018
07.10.2025 12:00:31.000 UTC,1.16628,1.16628,1.16628,1.16628,0.0009
07.10.2025 12:00:32.000 UTC,1.16625,1.16626,1.16625,1.16626,0.0018
07.10.2025 12:00:33.000 UTC,1.16624,1.16624,1.16624,1.16624,0.0009
07.10.2025 12:00:36.000 UTC,1.16626,1.16629,1.16626,1.16627,0.00292
07.10.2025 12:00:37.000 UTC,1.16626,1.16626,1.16626,1.16626,0.0018
07.10.2025 12:00:38.000 UTC,1.16626,1.16627,1.16626,1.16627,0.0029
