UTC,Open,High,Low,Close,Volume
08.10.2025 12:00:00.000 UTC,1.3945,1.3945,1.39448,1.39448,0.0111
08.10.2025 12:00:01.000 UTC,1.39448,1.39448,1.39445,1.39445,0.0024
08.10.2025 12:00:02.000 UTC,1.39446,1.39448,1.39446,1.39448,0.0027
08.10.2025 12:00:03.000 UTC,1.39447,1.39447,1.39447,1.39447,0.0012
08.10.2025 12:00:04.000 UTC,1.39448,1.39448,1.39448,1.39448,0.0012
08.10.2025 12:00:05.000 UTC,1.39448,1.39448,1.39448,1.39448,0.0048
08.10.2025 12:00:06.000 UTC,1.39447,1.39448,1.39447,1.39447,0.0036
08.10.2025 12:00:07.000 UTC,1.39447,1.3945,1.39447,1.3945,0.006
08.10.2025 12:00:08.000 UTC,1.39451,1.39451,1.39451,1.39451,0.0012
08.10.2025 12:00:09.000 UTC,1.3945,1.3945,1.3945,1.3945,0.0012
08.10.2025 12:00:10.000 UTC,1.39451,1.39451,1.39451,1.39451,0.0012
08.10.2025 12:00:14.000 UTC,1.3945,1.3945,1.3945,1.3945,0.0012
08.10.2025 12:00:15.000 UTC,1.39451,1.39451,1.39451,1.39451,0.0012
08.10.2025 12:00:16.000 UTC,1.39451,1.39452,1.39451,1.39451,0.006
08.10.2025 12:00:18.000 UTC,1.39451,1.39451,1.39449,1.39449,0.00372
08.10.2025 12:00:21.000 UTC,1.39448,1.39448,1.39448,1.39448,0.0012
08.10.2025 12:00:23.000 UTC,1.39449,1.39449,1.39449,1.39449,0.0012
08.10.2025 12:00:24.000 UTC,1.39448,1.39449,1.39448,1.39449,0.00612
08.10.2025 12:00:25.000 UTC,1.39448,1.39449,1.39448,1.39449,0.00252
08.10.2025 12:00:26.000 UTC,1.39448,1.39448,1.39447,1.39447,0.0048
08.10.2025 12:00:27.000 UTC,1.39448,1.39448,1.39448,1.39448,0.0024
08.10.2025 12:00:28.000 UTC,1.39447,1.39448,1.39447,1.39447,0.0072
08.10.2025 12:00:29.000 UTC,1.39447,1.39447,1.39447,1.39447,0.0012
08.10.2025 12:00:30.000 UTC,1.39447,1.39448,1.39447,1.39448,0.0024
08.10.2025 12:00:32.000 UTC,1.39449,1.39449,1.39449,1.39449,0.0012
08.10.2025 12:00:34.000 UTC,1.39449,1.39449,1.39449,1.39449,0.0024
08.10.2025 12:00:35.000 UTC,1.39449,1.3945,1.39448,1.3945,0.0036
08.10.2025 12:00:36.000 UTC,1.3945,1.39451,1.3945,1.39451,0.0024
08.10.2025 12:00:37.000 UTC,1.39451,1.39451,1.39451,1.39451,0.0012
08.10.2025 12:00:38.000 UTC,1.39451,1.39451,1.39451,1.39451,0.0024
08.10.2025 12:00:39.000 UTC,1.39451,1.39451,1.39451,1.39451,0.00132
08.10.2025 12:00:40.000 UTC,1.39452,1.39452,1.39452,1.39452,0.00132
08.10.2025 12:00:41.000 UTC,1.39452,1.39452,1.39451,1.39451,0.00492
08.10.2025 12:00:42.000 UTC,1.39451,1.39451,1.39451,1.39451,0.0012
08.10.2025 12:00:43.000 UTC,1.3945,1.3945,1.3945,1.3945,0.0012
08.10.2025 12:00:44.000 UTC,1.39451,1.39452,1.39451,1.39452,0.0024
08.10.2025 12:00:45.000 UTC,1.39452,1.39452,1.39451,1.39452,0.0048
08.10.2025 12:00:46.000 UTC,1.39451,1.39451,1.39451,1.39451,0.0012
08.10.2025 12:00:47.000 UTC,1.39452,1.39452,1.39452,1.39452,0.0012
08.10.2025 12:00:48.000 UTC,1.3945,1.3945,1.39449,1.39449,0.0042
08.10.2025 12:00:49.000 UTC,1.39449,1.39449,1.39449,1.39449,0.0012
08.10.2025 12:00:50.000 UTC,1.3945,1.3945,1.3945,1.3945,0.0012
