UTC,Ask,Bid,Ask Volume,Bid Volume
06.10.2025 10:00:10.788 UTC,1.39559,1.39547,0.0018,0.009
06.10.2025 10:00:12.452 UTC,1.39559,1.39547,0.0033,0.009
06.10.2025 10:00:12.855 UTC,1.39559,1.39547,0.00315,0.009
06.10.2025 10:00:14.062 UTC,1.39559,1.39547,0.0024,0.009
06.10.2025 10:00:15.970 UTC,1.39558,1.39548,0.00225,0.009
06.10.2025 10:00:16.623 UTC,1.39559,1.39547,0.0024,0.009
06.10.2025 10:00:17.526 UTC,1.39559,1.39547,0.00225,0.009
06.10.2025 10:00:17.628 UTC,1.39558,1.39548,0.0024,0.009
06.10.2025 10:00:28.459 UTC,1.39558,1.39548,0.00225,0.009
06.10.2025 10:00:28.561 UTC,1.39559,1.39547,0.0024,0.009
06.10.2025 10:00:29.414 UTC,1.39559,1.39547,0.00225,0.009
06.10.2025 10:00:29.716 UTC,1.39559,1.39547,0.0024,0.009
06.10.2025 10:00:30.318 UTC,1.39559,1.39547,0.00225,0.009
06.10.2025 10:00:31.622 UTC,1.39558,1.39548,0.0024,0.009
06.10.2025 10:00:31.875 UTC,1.39558,1.39548,0.00225,0.009
06.10.2025 10:00:35.525 UTC,1.39559,1.39547,0.0024,0.009
06.10.2025 10:00:35.627 UTC,1.39559,1.39547,0.00225,0.009
06.10.2025 10:00:38.796 UTC,1.39559,1.39547,0.0033,0.009
06.10.2025 10:00:39.552 UTC,1.39558,1.39548,0.00315,0.009
06.10.2025 10:00:41.213 UTC,1.39559,1.39548,0.00135,0.009
06.10.2025 10:00:44.334 UTC,1.39557,1.39549,0.0012,0.009
06.10.2025 10:00:44.937 UTC,1.39557,1.39548,0.0012,0.009
06.10.2025 10:00:45.201 UTC,1.39558,1.39545,0.00225,0.009
06.10.2025 10:00:45.253 UTC,1.39548,1.39541,0.0012,0.0012
06.10.2025 10:00:45.306 UTC,1.39548,1.3954,0.0012,0.0012
06.10.2025 10:00:45.462 UTC,1.39549,1.39538,0.0012,0.009
06.10.2025 10:00:46.827 UTC,1.39548,1.39538,0.0012,0.009
06.10.2025 10:00:47.483 UTC,1.39549,1.39538,0.0012,0.009
06.10.2025 10:00:49.448 UTC,1.39548,1.39538,0.0012,0.009
06.10.2025 10:00:50.660 UTC,1.39548,1.39539,0.0012,0.009
06.10.2025 10:00:50.762 UTC,1.39548,1.39538,0.0012,0.009
06.10.2025 10:00:51.215 UTC,1.39548,1.39539,0.0012,0.009
06.10.2025 10:00:51.569 UTC,1.39548,1.39538,0.0012,0.009
06.10.2025 10:00:57.090 UTC,1.39548,1.39539,0.0012,0.009
06.10.2025 10:00:58.734 UTC,1.39547,1.3954,0.0012,0.009
06.10.2025 10:00:58.888 UTC,1.39546,1.3954,0.0012,0.009
06.10.2025 10:00:58.991 UTC,1.39546,1.39536,0.0012,0.009
06.10.2025 10:01:00.918 UTC,1.39547,1.39537,0.0012,0.009
06.10.2025 10:01:01.477 UTC,1.39549,1.39538,0.0012,0.00909
06.10.2025 10:01:01.581 UTC,1.39551,1.39538,0.0012,0.00909
06.10.2025 10:01:01.633 UTC,1.39552,1.39541,0.0012,0.009
06.10.2025 10:01:01.737 UTC,1.39554,1.39543,0.0018,0.009
06.10.2025 10:01:01.840 UTC,1.39552,1.39544,0.00189,0.009
06.10.2025 10:01:01.943 UTC,1.39551,1.39543,0.0012,0.009
06.10.2025 10:01:03.209 UTC,1.39552,1.39543,0.0012,0.009
06.10.2025 10:01:04.069 UTC,1.39553,1.39543,0.0012,0.009
06.10.2025 10:01:14.039 UTC,1.39552,1.39543,0.0018,0.009
06.10.2025 10:01:14.143 UTC,1.39549,1.39536,0.0012,0.0012
06.10.2025 10:01:14.194 UTC,1.39549,1.39538,0.0012,0.009
06.10.2025 10:01:14.501 UTC,1.39549,1.39539,0.0012,0.009
06.10.2025 10:01:14.603 UTC,1.3955,1.3954,0.0012,0.009
06.10.2025 10:01:15.766 UTC,1.3955,1.39539,0.0012,0.009
06.10.2025 10:01:18.483 UTC,1.39551,1.39539,0.0012,0.009
06.10.2025 10:01:18.637 UTC,1.39551,1.39542,0.0012,0.009
06.10.2025 10:01:19.041 UTC,1.39552,1.39542,0.0012,0.009
06.10.2025 10:01:19.144 UTC,1.39555,1.39542,0.0012,0.0099
06.10.2025 10:01:19.247 UTC,1.39554,1.39543,0.0012,0.009
06.10.2025 10:01:19.402 UTC,1.39554,1.39544,0.0012,0.0012
06.10.2025 10:01:20.309 UTC,1.39555,1.39545,0.0012,0.009
06.10.2025 10:01:20.493 UTC,1.39557,1.39547,0.0012,0.009
06.10.2025 10:01:20.596 UTC,1.39557,1.39548,0.0012,0.009
06.10.2025 10:01:26.794 UTC,1.39557,1.39547,0.0012,0.009
06.10.2025 10:01:26.945 UTC,1.39557,1.39548,0.0012,0.009
06.10.2025 10:01:29.263 UTC,1.39557,1.39547,0.0012,0.009
06.10.2025 10:01:29.566 UTC,1.39556,1.39547,0.0012,0.009
06.10.2025 10:01:35.929 UTC,1.39554,1.39548,0.0012,0.009
06.10.2025 10:01:35.981 UTC,1.39553,1.39542,0.00132,0.0012
06.10.2025 10:01:36.034 UTC,1.39548,1.39538,0.0012,0.0099
06.10.2025 10:01:36.137 UTC,1.39549,1.3954,0.0012,0.009
06.10.2025 10:01:37.605 UTC,1.39549,1.39539,0.0012,0.009
06.10.2025 10:01:41.546 UTC,1.39548,1.39538,0.0012,0.009
06.10.2025 10:01:44.326 UTC,1.39547,1.39537,0.0012,0.009
06.10.2025 10:01:44.478 UTC,1.39547,1.39538,0.0012,0.009
06.10.2025 10:01:50.614 UTC,1.39546,1.39537,0.0012,0.009
06.10.2025 10:01:51.979 UTC,1.39547,1.39537,0.0012,0.009
06.10.2025 10:01:57.226 UTC,1.39548,1.39538,0.0012,0.009
06.10.2025 10:02:00.246 UTC,1.39547,1.39538,0.0012,0.009
06.10.2025 10:02:04.776 UTC,1.39548,1.39538,0.0012,0.009
06.10.2025 10:02:08.436 UTC,1.39549,1.39538,0.0012,0.00945
06.10.2025 10:02:08.540 UTC,1.3955,1.3954,0.0012,0.00945
06.10.2025 10:02:08.694 UTC,1.39551,1.3954,0.0012,0.009
06.10.2025 10:02:10.507 UTC,1.39552,1.3954,0.0012,0.009
06.10.2025 10:02:10.609 UTC,1.39551,1.39543,0.0012,0.009
06.10.2025 10:02:13.329 UTC,1.39551,1.39542,0.00132,0.009
06.10.2025 10:02:13.431 UTC,1.39548,1.39538,0.0012,0.00135
06.10.2025 10:02:13.534 UTC,1.39548,1.39538,0.0012,0.009
06.10.2025 10:02:14.700 UTC,1.39548,1.39537,0.0012,0.009
06.10.2025 10:02:15.055 UTC,1.39546,1.39537,0.0012,0.009
06.10.2025 10:02:16.212 UTC,1.39548,1.39537,0.0012,0.009
06.10.2025 10:02:16.365 UTC,1.39547,1.39539,0.0012,0.009
06.10.2025 10:02:20.508 UTC,1.39547,1.39538,0.0012,0.009
06.10.2025 10:02:21.113 UTC,1.39547,1.39537,0.0012,0.009
06.10.2025 10:02:21.975 UTC,1.39548,1.39537,0.0012,0.009
06.10.2025 10:02:22.128 UTC,1.39548,1.39538,0.0012,0.009
06.10.2025 10:02:22.332 UTC,1.39549,1.39538,0.0012,0.0117
06.10.2025 10:02:22.384 UTC,1.39551,1.39542,0.00132,0.009
06.10.2025 10:02:22.486 UTC,1.39552,1.3954,0.00132,0.009
06.10.2025 10:02:22.589 UTC,1.39553,1.3954,0.0012,0.0099
06.10.2025 10:02:22.691 UTC,1.39553,1.39542,0.0012,0.009
06.10.2025 10:02:27.228 UTC,1.39554,1.39542,0.0012,0.009
06.10.2025 10:02:27.383 UTC,1.39553,1.39544,0.0012,0.009
06.10.2025 10:02:35.730 UTC,1.39553,1.39542,0.00234,0.009
06.10.2025 10:02:35.835 UTC,1.39552,1.39541,0.0012,0.009
06.10.2025 10:02:35.939 UTC,1.39553,1.39541,0.00135,0.009
06.10.2025 10:02:36.094 UTC,1.39553,1.39542,0.0012,0.009
06.10.2025 10:02:37.104 UTC,1.39554,1.39542,0.0012,0.00945
06.10.2025 10:02:42.747 UTC,1.39553,1.39542,0.0012,0.009
06.10.2025 10:02:42.850 UTC,1.39554,1.39542,0.00189,0.009
06.10.2025 10:02:42.953 UTC,1.39553,1.39542,0.0018,0.009
06.10.2025 10:02:43.462 UTC,1.39552,1.39541,0.0012,0.009
06.10.2025 10:02:43.730 UTC,1.39553,1.39541,0.0018,0.009
06.10.2025 10:02:44.138 UTC,1.39552,1.39541,0.00135,0.009
06.10.2025 10:02:44.292 UTC,1.39552,1.39541,0.00249,0.009
06.10.2025 10:02:44.344 UTC,1.39549,1.3954,0.0012,0.009
06.10.2025 10:02:44.548 UTC,1.3955,1.39538,0.0012,0.00945
06.10.2025 10:02:44.801 UTC,1.3955,1.39539,0.0012,0.009
06.10.2025 10:02:52.210 UTC,1.3955,1.39541,0.0012,0.009
06.10.2025 10:02:53.070 UTC,1.39553,1.39542,0.0012,0.009
06.10.2025 10:02:53.274 UTC,1.39552,1.39542,0.0012,0.009
06.10.2025 10:02:53.479 UTC,1.39551,1.3954,0.0012,0.009
06.10.2025 10:03:00.643 UTC,1.39552,1.39541,0.0018,0.00945
06.10.2025 10:03:00.749 UTC,1.39554,1.39542,0.0012,0.009
06.10.2025 10:03:00.854 UTC,1.39554,1.39543,0.0012,0.009
06.10.2025 10:03:01.009 UTC,1.39554,1.39544,0.0012,0.009
06.10.2025 10:03:01.060 UTC,1.39556,1.39544,0.0012,0.009
06.10.2025 10:03:01.163 UTC,1.39555,1.39547,0.0012,0.009
06.10.2025 10:03:02.125 UTC,1.39557,1.39546,0.0012,0.009
06.10.2025 10:03:02.428 UTC,1.39557,1.39547,0.0012,0.009
06.10.2025 10:03:06.410 UTC,1.39557,1.39546,0.00135,0.009
06.10.2025 10:03:14.352 UTC,1.39557,1.39548,0.0012,0.009
06.10.2025 10:03:18.833 UTC,1.39557,1.39546,0.00135,0.009
06.10.2025 10:03:19.947 UTC,1.39556,1.39548,0.0012,0.009
06.10.2025 10:03:28.362 UTC,1.39556,1.39547,0.0012,0.009
06.10.2025 10:03:28.972 UTC,1.39556,1.39548,0.0012,0.009
06.10.2025 10:03:33.045 UTC,1.39557,1.39546,0.0012,0.009
06.10.2025 10:03:37.813 UTC,1.39555,1.39543,0.0012,0.00945
06.10.2025 10:03:54.437 UTC,1.39554,1.39543,0.0012,0.009
06.10.2025 10:04:02.676 UTC,1.39556,1.39543,0.0012,0.01035
06.10.2025 10:04:02.779 UTC,1.39556,1.39544,0.0018,0.009
06.10.2025 10:04:02.932 UTC,1.39556,1.39545,0.0012,0.009
06.10.2025 10:04:04.090 UTC,1.39557,1.39545,0.00225,0.009
06.10.2025 10:04:04.193 UTC,1.39557,1.39546,0.0018,0.009
06.10.2025 10:04:04.848 UTC,1.39555,1.39546,0.0012,0.009
06.10.2025 10:04:06.459 UTC,1.39556,1.39546,0.0012,0.009
06.10.2025 10:04:06.612 UTC,1.39558,1.39546,0.0012,0.009
06.10.2025 10:04:06.714 UTC,1.39557,1.39548,0.0012,0.009
06.10.2025 10:04:15.140 UTC,1.39559,1.39547,0.0012,0.009
06.10.2025 10:04:15.294 UTC,1.39558,1.39547,0.0012,0.009
