UTC,Ask,Bid,Ask Volume,Bid Volume
16.09.2025 15:00:00.274 UTC,1.37477,1.37467,0.00135,0.00189
16.09.2025 15:00:00.427 UTC,1.37477,1.37468,0.00135,0.0012
16.09.2025 15:00:00.530 UTC,1.37479,1.37466,0.0018,0.00189
16.09.2025 15:00:00.887 UTC,1.37479,1.37466,0.0018,0.0012
16.09.2025 15:00:01.350 UTC,1.37478,1.37467,0.00135,0.0012
16.09.2025 15:00:02.215 UTC,1.37479,1.37466,0.0018,0.00222
16.09.2025 15:00:03.025 UTC,1.37479,1.37466,0.00192,0.00222
16.09.2025 15:00:03.129 UTC,1.37479,1.37466,0.00192,0.0018
16.09.2025 15:00:04.292 UTC,1.37479,1.37466,0.00252,0.0018
16.09.2025 15:00:04.498 UTC,1.37478,1.37467,0.00252,0.0018
16.09.2025 15:00:04.602 UTC,1.37479,1.37468,0.0024,0.00132
16.09.2025 15:00:04.705 UTC,1.37479,1.37468,0.0012,0.0018
16.09.2025 15:00:05.062 UTC,1.3748,1.37468,0.00192,0.0012
16.09.2025 15:00:05.925 UTC,1.3748,1.37466,0.00342,0.00176
16.09.2025 15:00:06.079 UTC,1.37478,1.37467,0.00192,0.00222
16.09.2025 15:00:07.994 UTC,1.37477,1.37468,0.00147,0.00132
16.09.2025 15:00:09.103 UTC,1.37478,1.37467,0.00135,0.0012
16.09.2025 15:00:09.205 UTC,1.37479,1.37466,0.0018,0.00231
16.09.2025 15:00:09.709 UTC,1.37479,1.37468,0.0018,0.0012
16.09.2025 15:00:09.761 UTC,1.3748,1.37468,0.00135,0.0012
16.09.2025 15:00:09.916 UTC,1.37481,1.37468,0.00249,0.0012
16.09.2025 15:00:10.223 UTC,1.37481,1.37468,0.0018,0.00132
16.09.2025 15:00:10.377 UTC,1.37482,1.3747,0.0048,0.0012
16.09.2025 15:00:10.481 UTC,1.37482,1.3747,0.00249,0.00141
16.09.2025 15:00:10.584 UTC,1.37483,1.37469,0.00192,0.00141
16.09.2025 15:00:10.686 UTC,1.37482,1.3747,0.00192,0.00132
16.09.2025 15:00:11.134 UTC,1.37483,1.37469,0.00342,0.00132
16.09.2025 15:00:11.905 UTC,1.37484,1.3747,0.00225,0.00192
16.09.2025 15:00:11.958 UTC,1.37484,1.37475,0.0012,0.0012
16.09.2025 15:00:12.114 UTC,1.37487,1.37476,0.00207,0.0012
16.09.2025 15:00:12.524 UTC,1.37487,1.37476,0.00192,0.0012
16.09.2025 15:00:12.678 UTC,1.37488,1.37477,0.00297,0.0012
16.09.2025 15:00:13.033 UTC,1.37489,1.37476,0.00192,0.0012
16.09.2025 15:00:13.644 UTC,1.37489,1.37476,0.0018,0.00132
16.09.2025 15:00:13.746 UTC,1.37489,1.37476,0.00342,0.0012
16.09.2025 15:00:13.850 UTC,1.37488,1.37476,0.00252,0.0012
16.09.2025 15:00:15.068 UTC,1.37488,1.37475,0.00192,0.0012
16.09.2025 15:00:16.635 UTC,1.37487,1.37474,0.00192,0.00132
16.09.2025 15:00:16.738 UTC,1.37486,1.37475,0.0018,0.00144
16.09.2025 15:00:16.945 UTC,1.37487,1.37474,0.00135,0.00189
16.09.2025 15:00:17.150 UTC,1.37487,1.37474,0.0018,0.00144
16.09.2025 15:00:17.404 UTC,1.37487,1.37474,0.00135,0.00189
16.09.2025 15:00:17.508 UTC,1.37487,1.37474,0.0024,0.00144
16.09.2025 15:00:18.279 UTC,1.37486,1.37475,0.00135,0.00147
16.09.2025 15:00:18.585 UTC,1.37489,1.37475,0.00288,0.00147
16.09.2025 15:00:18.689 UTC,1.37489,1.37475,0.0018,0.00144
16.09.2025 15:00:18.791 UTC,1.37489,1.37475,0.0018,0.00189
16.09.2025 15:00:19.094 UTC,1.37489,1.37475,0.00192,0.00141
