UTC,Ask,Bid,Ask Volume,Bid Volume
21.10.2025 11:00:00.174 UTC,1.40527,1.40512,0.0018,0.0033
21.10.2025 11:00:00.429 UTC,1.40527,1.40514,0.00135,0.00135
21.10.2025 11:00:04.924 UTC,1.40528,1.40514,0.00135,0.00189
21.10.2025 11:00:04.976 UTC,1.40528,1.40514,0.00135,0.00204
21.10.2025 11:00:08.150 UTC,1.40527,1.40515,0.0012,0.00132
21.10.2025 11:00:08.303 UTC,1.40529,1.40516,0.0018,0.00132
21.10.2025 11:00:08.407 UTC,1.4053,1.40516,0.00135,0.00297
21.10.2025 11:00:08.863 UTC,1.40531,1.40517,0.00225,0.00192
21.10.2025 11:00:09.165 UTC,1.4053,1.40518,0.0024,0.00192
21.10.2025 11:00:09.417 UTC,1.4053,1.40518,0.00225,0.00207
21.10.2025 11:00:11.431 UTC,1.40531,1.40517,0.0024,0.00192
21.10.2025 11:00:11.583 UTC,1.40531,1.40517,0.00225,0.00207
21.10.2025 11:00:14.758 UTC,1.40529,1.40516,0.0012,0.00207
21.10.2025 11:00:14.861 UTC,1.40529,1.40516,0.00135,0.00192
21.10.2025 11:00:17.251 UTC,1.40529,1.40516,0.00135,0.00252
21.10.2025 11:00:31.792 UTC,1.40528,1.40515,0.0012,0.00207
21.10.2025 11:00:32.097 UTC,1.40528,1.40516,0.00135,0.00207
21.10.2025 11:00:32.500 UTC,1.4053,1.40516,0.00405,0.00132
21.10.2025 11:00:32.602 UTC,1.40529,1.40516,0.0042,0.00207
21.10.2025 11:00:41.466 UTC,1.40529,1.40517,0.00225,0.00132
21.10.2025 11:00:41.568 UTC,1.40529,1.40516,0.0024,0.00297
21.10.2025 11:00:52.995 UTC,1.4053,1.40516,0.00315,0.00132
21.10.2025 11:00:54.652 UTC,1.4053,1.40515,0.0033,0.00297
21.10.2025 11:00:58.672 UTC,1.40525,1.40515,0.00225,0.00192
21.10.2025 11:00:58.776 UTC,1.40524,1.40513,0.0012,0.00132
21.10.2025 11:00:58.828 UTC,1.40525,1.40511,0.0012,0.00192
21.10.2025 11:00:59.133 UTC,1.40525,1.40511,0.0012,0.00252
21.10.2025 11:01:00.347 UTC,1.40526,1.40514,0.0012,0.00132
21.10.2025 11:01:00.399 UTC,1.40529,1.40516,0.0024,0.00132
21.10.2025 11:01:00.502 UTC,1.40529,1.40516,0.0018,0.00147
21.10.2025 11:01:00.757 UTC,1.40529,1.40515,0.0018,0.00252
21.10.2025 11:01:02.506 UTC,1.40529,1.40516,0.0012,0.00192
21.10.2025 11:01:03.166 UTC,1.40529,1.40516,0.0012,0.0018
21.10.2025 11:01:03.268 UTC,1.40528,1.40517,0.0012,0.00195
21.10.2025 11:01:04.479 UTC,1.40531,1.40518,0.0027,0.00132
21.10.2025 11:01:05.945 UTC,1.40531,1.40518,0.0018,0.00144
21.10.2025 11:01:06.149 UTC,1.40531,1.40516,0.00195,0.00339
21.10.2025 11:01:06.252 UTC,1.40531,1.40516,0.00285,0.00294
21.10.2025 11:01:07.008 UTC,1.4053,1.40518,0.0027,0.0012
21.10.2025 11:01:07.061 UTC,1.40532,1.40518,0.00195,0.00282
21.10.2025 11:01:07.215 UTC,1.40533,1.40521,0.0018,0.0018
21.10.2025 11:01:07.519 UTC,1.40536,1.40521,0.0027,0.0018
21.10.2025 11:01:07.875 UTC,1.40534,1.40523,0.0012,0.00144
21.10.2025 11:01:07.979 UTC,1.40536,1.40523,0.00189,0.00192
21.10.2025 11:01:08.084 UTC,1.40537,1.40522,0.00189,0.00192
21.10.2025 11:01:17.365 UTC,1.40536,1.40522,0.0012,0.0018
21.10.2025 11:01:17.567 UTC,1.40537,1.40522,0.00324,0.0018
21.10.2025 11:01:17.668 UTC,1.40536,1.40522,0.0012,0.0018
21.10.2025 11:01:18.221 UTC,1.40536,1.40523,0.00324,0.0024
21.10.2025 11:01:19.325 UTC,1.40537,1.40523,0.00249,0.0018
21.10.2025 11:01:20.834 UTC,1.40539,1.40523,0.00507,0.0018
21.10.2025 11:01:20.937 UTC,1.40539,1.40523,0.00522,0.0024
21.10.2025 11:01:21.039 UTC,1.40539,1.40524,0.00522,0.0012
21.10.2025 11:01:21.192 UTC,1.40539,1.40523,0.00465,0.00249
21.10.2025 11:01:21.997 UTC,1.40539,1.40524,0.0051,0.0012
